httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.005259113s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,876,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1149,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a86710000867fa30b1de1,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:01.036241982Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,16464606685130093724,,2024-04-25T16:36:01.023264Z,projects/accesa-playground/traces/8b6b8ab2ba5421e08202b3a23d9248e5,true
0.385603745s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1826,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-settings/chapters/simplified,4383,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8634000d9fdff70308c1,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:35:01.053294694Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,16589579769386045696,,2024-04-25T16:35:00.505853Z,projects/accesa-playground/traces/682d8c1923bba5e96edf671431dcfa7a,
0.372051201s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1806,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-settings,1133,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8634000d43f266efb7fa,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:35:01.053294694Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,1823942634999964858,,2024-04-25T16:35:00.495749Z,projects/accesa-playground/traces/6bdf1cdb01d3fc4c32b697dd5a89c16a,
0.008052091s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,876,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-settings/chapters/simplified,1134,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a86340005fd7be893d5e7,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:35:00.720622785Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,6522951675102418957,,2024-04-25T16:35:00.383061Z,projects/accesa-playground/traces/15cb387dfcb0c8302f61dfe24f9b394a,
0.004474734s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,856,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-settings,1134,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a86340005e0b361212e78,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:35:00.386818752Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,6771356445670635518,,2024-04-25T16:35:00.376042Z,projects/accesa-playground/traces/c5296a8b307d874daac4dc821c105bbf,true
0.227812832s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1807,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/subscriptions,1443,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a85e90006789e6e2bfa97,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:33:45.517436002Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,17505042663279422626,,2024-04-25T16:33:45.194407Z,projects/accesa-playground/traces/02cd5dbf443c434e1f2f221c83aa7dec,
0.004874737s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,844,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/subscriptions,1134,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a85e8000f11bd9c51c694,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:33:45.182230633Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,15259361839615342890,,2024-04-25T16:33:44.981135Z,projects/accesa-playground/traces/6aec171b22e529fb8713eb7dbb4bfd07,
0.287730290s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1807,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,5399,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a85e900035eeb69eab2e8,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:33:45.517436002Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,4436285546922800045,,2024-04-25T16:33:44.931710Z,projects/accesa-playground/traces/a36d3114b493fc7d14aec7453e176107,
0.005798541s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,843,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,1134,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a85e8000bfbad0e94ac4f,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:33:44.849763353Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,6888569109782692103,,2024-04-25T16:33:44.777443Z,projects/accesa-playground/traces/bc3a8061d3216955a6f7618ee9587328,
1.119203241s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1796,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,199573,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a85e9000d8160f0669600,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:33:46.181638274Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,16939562915706805999,,2024-04-25T16:33:44.764457Z,projects/accesa-playground/traces/3125d8a84d5601dced581c6ade01ba40,true
0.257618910s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1847,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/f13d0107-dfd5-4553-836b-88f98bec1a13/subscriptions,1255,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a85e6000193b56a0562f3,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:33:42.185782229Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,17149696612698830388,,2024-04-25T16:33:41.843544Z,projects/accesa-playground/traces/eccf718006d066540f1c581af151fd8e,
